entry_key,metrics_overfit_ratio,metrics_return_per_bar,metrics_test_trade_count,metrics_train_return_per_bar,numeric_entry_params_max_setup_hold_bars,numeric_entry_params_threshold_pct,tbm_params_active_trail_sl,tbm_params_exit_on_close,tbm_params_max_holding_bars,tbm_params_sl_mult,tbm_params_sl_trail_mult,tbm_params_time_decay_mult,tbm_params_time_decay_sl,tbm_params_tp_mult,tbm_params_tp_trail_mult
max_setup_hold_bars=5.0|threshold_pct=0.04,1.014,1.0161200691564116,310,1.0301114977942658,5.0,0.04,False,True,15,6.7,7.500000000000001,3.1,False,1.1,0.060000000000000005
max_setup_hold_bars=7.0|threshold_pct=0.04,1.112,0.7967349515295955,351,0.8856304805525298,7.0,0.04,False,True,24,4.300000000000001,0.8,0.7000000000000001,True,1.4000000000000001,0.09999999999999999
max_setup_hold_bars=9.0|threshold_pct=0.04,1.115,0.9378256165241128,372,1.0456247479020147,9.0,0.04,False,True,25,6.7,2.2,3.6,False,1.2000000000000002,0.01
max_setup_hold_bars=11.0|threshold_pct=0.04,1.114,0.8076840315193667,414,0.9000272463013845,11.0,0.04,False,True,22,5.4,2.7,2.3000000000000003,False,1.2000000000000002,0.14
max_setup_hold_bars=14.0|threshold_pct=0.04,1.12,0.8126686704399071,450,0.9101200183222663,14.0,0.04,True,True,24,7.000000000000001,5.2,3.7,False,1.2000000000000002,0.04
max_setup_hold_bars=18.0|threshold_pct=0.04,1.264,0.7140843961945204,479,0.9028033049554279,18.0,0.04,True,True,22,7.6000000000000005,7.4,3.0000000000000004,False,1.4000000000000001,0.09
max_setup_hold_bars=22.0|threshold_pct=0.04,1.329,0.6567114326358849,510,0.872525866954323,22.0,0.04,True,True,14,6.1000000000000005,8.799999999999999,4.3999999999999995,False,1.2000000000000002,0.04
max_setup_hold_bars=28.0|threshold_pct=0.04,1.442,0.5663182064757821,544,0.8166267187201436,28.0,0.04,False,True,9,6.800000000000001,4.0,5.5,False,1.0,0.08
max_setup_hold_bars=35.0|threshold_pct=0.04,1.342,0.6745050443853389,544,0.9051157912229505,35.0,0.04,True,True,25,7.500000000000001,8.9,4.9,False,1.1,0.16
max_setup_hold_bars=3.0|threshold_pct=0.05,1.131,1.112128202863023,147,1.2575869878915975,3.0,0.05,False,True,21,7.7,0.2,8.0,False,1.5000000000000002,0.04
max_setup_hold_bars=5.0|threshold_pct=0.05,1.003,1.1295895134000622,232,1.1327422703054857,5.0,0.05,False,True,16,7.7,1.2,0.5,True,1.3000000000000003,0.09999999999999999
max_setup_hold_bars=7.0|threshold_pct=0.05,1.065,1.0301869432404387,265,1.0969248782493446,7.0,0.05,False,True,24,6.500000000000001,7.500000000000001,6.2,False,1.5000000000000002,0.05
max_setup_hold_bars=9.0|threshold_pct=0.05,1.091,0.9355829194548964,300,1.0211280435931482,9.0,0.05,True,True,23,7.7,5.800000000000001,6.9,False,1.2000000000000002,0.11
max_setup_hold_bars=11.0|threshold_pct=0.05,1.134,0.8284722116170068,339,0.939620678421023,11.0,0.05,True,True,24,6.500000000000001,5.000000000000001,7.8,False,1.3000000000000003,0.22
max_setup_hold_bars=14.0|threshold_pct=0.05,1.159,0.8272314015138178,379,0.9591067874356587,14.0,0.05,False,True,22,6.300000000000001,8.4,6.7,False,1.2000000000000002,0.14
max_setup_hold_bars=18.0|threshold_pct=0.05,1.274,0.7302221089838058,411,0.9303830037325398,18.0,0.05,True,True,24,6.000000000000001,7.4,4.7,False,1.4000000000000001,0.08
max_setup_hold_bars=22.0|threshold_pct=0.05,1.315,0.6686362680604218,437,0.8793441945963546,22.0,0.05,False,True,19,5.300000000000001,2.0,1.0,False,1.3000000000000003,0.060000000000000005
max_setup_hold_bars=28.0|threshold_pct=0.05,1.278,0.6148999237520527,467,0.7857328608410596,28.0,0.05,False,True,17,6.300000000000001,1.4000000000000001,0.1,False,0.8,0.12
max_setup_hold_bars=35.0|threshold_pct=0.05,1.419,0.6428365737701146,481,0.9122766885000693,35.0,0.05,True,True,25,6.800000000000001,6.300000000000001,3.2,False,1.3000000000000003,0.16
max_setup_hold_bars=3.0|threshold_pct=0.06,1.065,1.2543057949222243,110,1.335772881511414,3.0,0.06,True,True,12,7.000000000000001,8.9,6.9,False,1.5000000000000002,0.060000000000000005
max_setup_hold_bars=5.0|threshold_pct=0.06,1.139,1.088882464199027,178,1.2398453523509108,5.0,0.06,False,True,23,6.000000000000001,6.1000000000000005,0.9,True,1.6,0.01
max_setup_hold_bars=7.0|threshold_pct=0.06,1.165,1.1145892059571094,207,1.2989678029032494,7.0,0.06,False,True,23,6.2,2.1,0.9,False,1.4000000000000001,0.03
max_setup_hold_bars=9.0|threshold_pct=0.06,1.175,1.0379691376771036,250,1.2197740855249175,9.0,0.06,False,True,22,8.0,6.000000000000001,2.5000000000000004,False,1.0,0.01
max_setup_hold_bars=11.0|threshold_pct=0.06,1.383,0.808975065181938,279,1.1190322662951935,11.0,0.06,True,True,25,4.300000000000001,4.4,3.5000000000000004,False,1.2000000000000002,0.01
max_setup_hold_bars=14.0|threshold_pct=0.06,1.445,0.7024357855650527,329,1.0149493761128956,14.0,0.06,False,True,9,6.7,8.2,1.1,False,1.3000000000000003,0.05
max_setup_hold_bars=18.0|threshold_pct=0.06,1.238,0.8219511049471213,357,1.0174067347856774,18.0,0.06,False,True,22,6.300000000000001,0.2,3.2,False,1.3000000000000003,0.12
max_setup_hold_bars=22.0|threshold_pct=0.06,1.227,0.7186658064902319,403,0.8814811060208664,22.0,0.06,True,True,11,5.1000000000000005,9.5,4.3999999999999995,False,1.0,0.06999999999999999
max_setup_hold_bars=28.0|threshold_pct=0.06,1.2,0.7502949190349147,422,0.9006465967777364,28.0,0.06,False,True,15,6.6000000000000005,1.7,1.0,False,1.1,0.06999999999999999
max_setup_hold_bars=35.0|threshold_pct=0.06,1.211,0.7185271933244668,444,0.8701215707119773,35.0,0.06,False,True,16,7.500000000000001,8.7,1.5000000000000002,False,1.3000000000000003,0.18000000000000002
max_setup_hold_bars=3.0|threshold_pct=0.07,1.387,0.769364216326758,80,1.0671026186610142,3.0,0.07,True,True,9,4.300000000000001,9.5,3.3000000000000003,False,1.8000000000000003,0.5
max_setup_hold_bars=5.0|threshold_pct=0.07,1.197,1.1242170410681385,133,1.3455555455545798,5.0,0.07,False,True,8,7.000000000000001,2.8000000000000003,6.5,False,1.6,0.02
max_setup_hold_bars=7.0|threshold_pct=0.07,1.234,1.1733447783985698,161,1.4474227886567288,7.0,0.07,True,True,23,5.2,6.6000000000000005,6.7,False,1.3000000000000003,0.01
max_setup_hold_bars=9.0|threshold_pct=0.07,1.311,0.9349644600694731,189,1.2253265224761685,9.0,0.07,False,True,18,4.7,5.2,1.6,False,1.3000000000000003,0.09999999999999999
max_setup_hold_bars=11.0|threshold_pct=0.07,1.281,0.9277907086794966,224,1.188132077393634,11.0,0.07,True,True,22,5.4,9.7,4.5,False,1.0,0.13
max_setup_hold_bars=14.0|threshold_pct=0.07,1.671,0.6073791983236115,271,1.0147751594550212,14.0,0.07,False,True,9,6.800000000000001,2.0,5.7,False,1.0,0.16
max_setup_hold_bars=18.0|threshold_pct=0.07,1.462,0.7603127834407452,308,1.1112432117214108,18.0,0.07,True,True,23,7.4,10.0,1.1,False,1.0,0.01
max_setup_hold_bars=22.0|threshold_pct=0.07,1.489,0.6193952102293074,336,0.9224962988261033,22.0,0.07,False,True,15,5.2,1.8,1.3000000000000003,False,1.4000000000000001,0.12
max_setup_hold_bars=28.0|threshold_pct=0.07,1.425,0.7111194224167987,370,1.0134313253566034,28.0,0.07,False,True,24,8.0,3.1000000000000005,2.8000000000000003,False,0.9,0.01
max_setup_hold_bars=35.0|threshold_pct=0.07,1.448,0.6666713673879547,392,0.9656460454749245,35.0,0.07,False,True,23,6.1000000000000005,5.500000000000001,4.8,False,1.4000000000000001,0.060000000000000005
max_setup_hold_bars=3.0|threshold_pct=0.08,0.86,1.8616653628886763,61,1.600123692488244,3.0,0.08,False,True,25,6.800000000000001,9.5,7.4,False,1.3000000000000003,0.04
max_setup_hold_bars=5.0|threshold_pct=0.08,1.079,1.3581058689384433,106,1.4653401899544585,5.0,0.08,True,True,17,7.6000000000000005,5.500000000000001,5.2,False,1.3000000000000003,0.11
max_setup_hold_bars=7.0|threshold_pct=0.08,1.224,1.2359266513286133,129,1.5131566364109124,7.0,0.08,False,True,25,7.800000000000001,5.7,1.9000000000000001,False,1.5000000000000002,0.01
max_setup_hold_bars=9.0|threshold_pct=0.08,1.271,1.011126947432449,168,1.2849825226415543,9.0,0.08,True,True,9,4.7,4.6000000000000005,2.9000000000000004,False,1.1,0.01
max_setup_hold_bars=11.0|threshold_pct=0.08,1.254,1.0087677135723283,192,1.264856180215435,11.0,0.08,False,True,12,7.300000000000001,4.4,7.4,False,1.0,0.060000000000000005
max_setup_hold_bars=14.0|threshold_pct=0.08,1.462,0.8306136726888226,224,1.214665880020307,14.0,0.08,True,True,18,5.000000000000001,6.000000000000001,5.3,False,1.3000000000000003,0.14
max_setup_hold_bars=18.0|threshold_pct=0.08,1.502,0.7465111114019511,272,1.121496234674029,18.0,0.08,False,True,15,6.2,3.3000000000000003,3.0000000000000004,False,1.1,0.01
max_setup_hold_bars=22.0|threshold_pct=0.08,1.39,0.7815752353648794,308,1.0860753364339686,22.0,0.08,False,True,21,5.9,6.800000000000001,6.0,False,1.0,0.05
max_setup_hold_bars=28.0|threshold_pct=0.08,1.423,0.7703648647120739,331,1.0958767996900627,28.0,0.08,False,True,21,7.300000000000001,9.6,6.7,False,1.0,0.01
max_setup_hold_bars=35.0|threshold_pct=0.08,1.486,0.6035468925954277,364,0.8969692268411956,35.0,0.08,True,True,22,4.9,8.9,2.6,False,0.9,0.17
max_setup_hold_bars=3.0|threshold_pct=0.1,0.631,2.4202288935683423,34,1.5274267856405612,3.0,0.1,False,True,15,7.800000000000001,6.000000000000001,5.1,False,1.6,0.06999999999999999
max_setup_hold_bars=5.0|threshold_pct=0.1,1.005,1.0172138595765017,68,1.0227254614523817,5.0,0.1,True,True,6,4.6000000000000005,9.4,5.3,False,5.0,0.4
max_setup_hold_bars=7.0|threshold_pct=0.1,1.147,1.1315067750203043,85,1.2983544066572525,7.0,0.1,False,True,12,7.4,5.000000000000001,6.7,False,1.5000000000000002,0.35000000000000003
max_setup_hold_bars=9.0|threshold_pct=0.1,1.105,1.3009997823022523,104,1.4372866216471556,9.0,0.1,False,True,24,5.9,4.1000000000000005,8.0,False,1.1,0.18000000000000002
max_setup_hold_bars=11.0|threshold_pct=0.1,1.145,1.235999815093122,128,1.4149330817241124,11.0,0.1,True,True,21,7.7,7.4,2.5000000000000004,False,1.3000000000000003,0.09999999999999999
max_setup_hold_bars=14.0|threshold_pct=0.1,1.429,0.8728709428624817,167,1.2470213710133753,14.0,0.1,True,True,12,7.9,9.299999999999999,5.7,False,1.2000000000000002,0.16
max_setup_hold_bars=18.0|threshold_pct=0.1,1.256,0.9480221493225222,209,1.1906861141011233,18.0,0.1,True,True,21,8.0,9.6,3.7,False,1.5000000000000002,0.01
max_setup_hold_bars=22.0|threshold_pct=0.1,1.308,0.8858806993180062,244,1.158447730239172,22.0,0.1,False,True,25,7.500000000000001,1.4000000000000001,2.2,False,1.1,0.17
max_setup_hold_bars=28.0|threshold_pct=0.1,1.328,0.820378549556114,273,1.0896932355988735,28.0,0.1,True,True,16,6.300000000000001,6.4,4.9,False,1.2000000000000002,0.01
max_setup_hold_bars=35.0|threshold_pct=0.1,1.323,0.7469868752497486,300,0.9878985084786276,35.0,0.1,True,True,20,4.7,6.4,0.2,False,1.1,0.09999999999999999
max_setup_hold_bars=3.0|threshold_pct=0.12,0.464,3.775431438771923,22,1.7504513428584867,3.0,0.12,False,True,18,6.1000000000000005,6.300000000000001,7.9,False,1.3000000000000003,0.08
max_setup_hold_bars=5.0|threshold_pct=0.12,0.65,2.1754987173819957,40,1.4132319102194648,5.0,0.12,False,True,11,7.4,2.4000000000000004,3.3000000000000003,False,1.4000000000000001,0.37
max_setup_hold_bars=7.0|threshold_pct=0.12,0.775,1.8805388659626225,52,1.4582608708356863,7.0,0.12,False,True,10,7.1000000000000005,3.1000000000000005,0.4,True,1.3000000000000003,0.19
max_setup_hold_bars=9.0|threshold_pct=0.12,1.481,0.8800845689345661,70,1.3037506993124373,9.0,0.12,False,True,6,6.500000000000001,2.6000000000000005,1.4000000000000001,False,1.5000000000000002,0.48000000000000004
max_setup_hold_bars=11.0|threshold_pct=0.12,1.115,1.5081045919004492,82,1.6818866039371783,11.0,0.12,False,True,24,6.9,4.7,8.0,False,1.3000000000000003,0.05
max_setup_hold_bars=14.0|threshold_pct=0.12,1.488,0.9178105916139098,117,1.3659441901851068,14.0,0.12,True,True,9,5.1000000000000005,8.299999999999999,4.8,False,1.3000000000000003,0.06999999999999999
max_setup_hold_bars=18.0|threshold_pct=0.12,1.278,0.9263083817965855,156,1.1841368023550132,18.0,0.12,False,True,21,5.1000000000000005,1.8,1.7000000000000002,False,1.3000000000000003,0.35000000000000003
max_setup_hold_bars=22.0|threshold_pct=0.12,1.545,0.7722508867507499,192,1.1929730244645302,22.0,0.12,True,True,11,7.300000000000001,9.299999999999999,6.7,False,0.9,0.01
