entry_key,metrics_overfit_ratio,metrics_return_per_bar,metrics_test_trade_count,metrics_train_return_per_bar,numeric_entry_params_bb_period,numeric_entry_params_bb_std,numeric_entry_params_max_setup_hold_bars,tbm_params_active_trail_sl,tbm_params_exit_on_close,tbm_params_max_holding_bars,tbm_params_sl_mult,tbm_params_sl_trail_mult,tbm_params_time_decay_mult,tbm_params_time_decay_sl,tbm_params_tp_mult,tbm_params_tp_trail_mult
bb_period=10.0|bb_std=1.5|max_setup_hold_bars=10.0,1.339,0.5434019345294246,441,0.7275882789779624,10.0,1.5,10.0,True,True,19,7.2,6.1000000000000005,0.9,False,1.5000000000000002,0.24000000000000002
bb_period=10.0|bb_std=1.5|max_setup_hold_bars=15.0,1.45,0.3570965431322267,595,0.5178829429844797,10.0,1.5,15.0,False,True,6,7.500000000000001,8.5,1.0,False,1.1,0.01
bb_period=10.0|bb_std=1.5|max_setup_hold_bars=20.0,1.556,0.3819067996756638,666,0.594388285119263,10.0,1.5,20.0,True,True,11,6.500000000000001,4.5,0.9,True,1.4000000000000001,0.01
bb_period=10.0|bb_std=1.8|max_setup_hold_bars=3.0,0.62,0.6575348278842439,134,0.40795395850263527,10.0,1.8,3.0,True,True,9,5.9,7.300000000000001,2.1,False,2.8000000000000003,0.09
bb_period=10.0|bb_std=1.8|max_setup_hold_bars=5.0,0.844,0.7437759233897601,202,0.6275102777502858,10.0,1.8,5.0,False,True,17,5.800000000000001,0.4,7.3,False,1.2000000000000002,0.39
bb_period=10.0|bb_std=1.8|max_setup_hold_bars=7.0,0.723,0.6242105871700829,272,0.4511220857180855,10.0,1.8,7.0,False,True,13,6.7,6.7,1.8000000000000003,True,1.0,0.25
bb_period=10.0|bb_std=1.8|max_setup_hold_bars=10.0,1.234,0.46976160805369266,381,0.5797082561808182,10.0,1.8,10.0,False,True,10,7.9,9.8,8.0,False,1.7000000000000002,0.11
bb_period=10.0|bb_std=1.8|max_setup_hold_bars=15.0,1.278,0.5296941257671708,511,0.6771990811439713,10.0,1.8,15.0,True,True,25,5.9,8.1,1.9000000000000001,False,1.0,0.14
bb_period=10.0|bb_std=1.8|max_setup_hold_bars=20.0,1.148,0.4934541787079905,600,0.5662546884737988,10.0,1.8,20.0,False,True,19,5.7,4.300000000000001,1.1,False,1.1,0.18000000000000002
bb_period=10.0|bb_std=2.0|max_setup_hold_bars=3.0,0.584,1.0232930759030765,96,0.5972836929631258,10.0,2.0,3.0,True,True,20,4.9,8.5,3.9000000000000004,False,1.9000000000000001,0.33
bb_period=10.0|bb_std=2.0|max_setup_hold_bars=5.0,0.777,0.8034296444401497,163,0.6245237971700804,10.0,2.0,5.0,True,True,19,5.6000000000000005,5.1000000000000005,0.1,False,1.9000000000000001,0.18000000000000002
bb_period=10.0|bb_std=2.0|max_setup_hold_bars=7.0,0.819,0.9208616466011295,216,0.7539989304242969,10.0,2.0,7.0,False,True,22,6.500000000000001,6.6000000000000005,5.7,False,1.0,0.19
bb_period=10.0|bb_std=2.0|max_setup_hold_bars=10.0,0.82,0.6481715486720449,306,0.5316104655318918,10.0,2.0,10.0,False,True,18,6.2,4.300000000000001,6.1,False,1.6,0.3
bb_period=10.0|bb_std=2.0|max_setup_hold_bars=15.0,1.163,0.2058678729411445,456,0.23946328276210307,10.0,2.0,15.0,False,True,10,5.9,9.5,6.4,False,2.1,0.56
bb_period=10.0|bb_std=2.0|max_setup_hold_bars=20.0,0.946,0.5133051615788933,540,0.48573992627368806,10.0,2.0,20.0,False,True,17,5.6000000000000005,1.4000000000000001,5.4,False,1.3000000000000003,0.19
bb_period=10.0|bb_std=2.2|max_setup_hold_bars=3.0,0.472,1.3984577972910428,76,0.6600963838188862,10.0,2.2,3.0,False,True,16,7.300000000000001,2.9000000000000004,4.0,False,1.2000000000000002,0.02
bb_period=10.0|bb_std=2.2|max_setup_hold_bars=5.0,0.654,0.9957653725835449,129,0.6509640835404754,10.0,2.2,5.0,False,True,17,6.2,6.500000000000001,7.9,False,0.5,0.02
bb_period=10.0|bb_std=2.2|max_setup_hold_bars=7.0,1.004,0.7546154682019929,175,0.757588974697024,10.0,2.2,7.0,False,True,9,5.2,2.7,2.7,False,1.3000000000000003,0.01
bb_period=10.0|bb_std=2.2|max_setup_hold_bars=10.0,0.954,0.6633908989179477,244,0.6331100962312718,10.0,2.2,10.0,False,True,22,5.4,5.800000000000001,2.5000000000000004,False,1.5000000000000002,0.06999999999999999
bb_period=10.0|bb_std=2.2|max_setup_hold_bars=15.0,1.019,0.6271403180444061,367,0.6391453700190989,10.0,2.2,15.0,False,True,25,6.500000000000001,7.500000000000001,3.6,False,1.2000000000000002,0.02
bb_period=10.0|bb_std=2.2|max_setup_hold_bars=20.0,1.725,0.1847745882114652,479,0.31865409997175653,10.0,2.2,20.0,False,True,11,5.800000000000001,4.4,7.3,False,1.7000000000000002,0.48000000000000004
bb_period=10.0|bb_std=2.5|max_setup_hold_bars=3.0,0.257,2.0415739978728182,50,0.5251662492759598,10.0,2.5,3.0,False,True,21,4.800000000000001,8.7,3.1,False,1.0,0.16
