threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,tp_trail_mult,sl_trail_mult,max_holding_bars,active_trail_sl,time_decay_sl
0.04,14,-0.407859,-0.042901,0.0,1.825051,0.344169,0.070416,35.64801,-31.259436,-73.705147,1.147517,0.311012,3.709821,0.04,672,71.28,2.5402,9.39,0.903679,1.1,5.0,0.02,5.75,18,True,False
0.05,3,-0.513746,-0.058216,0.0,2.298196,0.448205,0.087534,35.061692,-29.630383,-73.082594,1.193722,0.329305,1.706949,0.05,331,71.9,4.2323,10.72,1.237039,1.4,5.0,0.03,5.5,18,True,False
0.04,15,-0.404595,-0.04237,0.0,1.80871,0.33994,0.069855,35.632291,-31.632829,-74.061793,1.151904,0.313411,3.940233,0.04,686,68.8,2.603,7.64,0.827398,1.1,4.5,0.03,5.25,12,True,False
0.05,4,-0.492629,-0.054385,0.0,2.246273,0.42512,0.083262,34.893586,-30.745144,-72.931478,1.214046,0.331646,2.078481,0.05,395,71.39,4.5191,8.78,1.142447,1.4,4.5,0.09,5.25,13,True,False
0.05,5,-0.471523,-0.051648,0.0,2.171404,0.403767,0.080152,34.940892,-31.303676,-73.18115,1.208754,0.331066,2.38322,0.05,441,73.47,4.2373,10.94,1.124953,1.4,4.75,0.14,6.0,19,True,False
0.05,6,-0.459627,-0.050054,0.0,2.136256,0.392306,0.079016,35.045022,-31.553519,-73.392343,1.196532,0.326226,2.599147,0.05,469,74.84,3.8408,10.86,1.10805,1.3,5.0,0.04,6.0,20,True,False
0.05,7,-0.45574,-0.048681,0.0,2.074015,0.38135,0.077476,35.143735,-31.635363,-73.411705,1.195364,0.326693,2.888446,0.05,502,73.11,3.3354,7.62,1.007016,1.0,4.75,0.01,6.0,14,True,False
0.05,8,-0.448777,-0.047816,0.0,2.041915,0.378779,0.07645,35.139196,-32.066371,-73.744487,1.194761,0.32381,3.112381,0.05,525,71.05,3.8984,9.83,1.023,1.4,4.75,0.03,5.25,16,True,False
0.05,9,-0.445735,-0.046967,0.0,2.007199,0.374932,0.075875,35.169519,-32.329418,-73.766982,1.194602,0.325967,3.307551,0.05,543,69.24,3.5722,10.01,0.993145,1.4,5.0,0.02,5.75,16,True,False
0.05,10,-0.442759,-0.04656,0.0,2.001054,0.370606,0.075426,35.181279,-32.456176,-73.868445,1.191921,0.32852,3.440433,0.05,554,68.77,3.1747,7.2,0.886034,1.2000000000000002,4.5,0.03,4.75,10,True,False
0.05,11,-0.441075,-0.046236,0.0,1.994701,0.367078,0.074975,35.148605,-32.67982,-74.118633,1.190568,0.326821,3.561279,0.05,563,72.47,2.7845,10.04,0.918222,1.2000000000000002,4.5,0.04,5.5,19,True,False
0.05,12,-0.43721,-0.045597,0.0,1.973155,0.362442,0.074269,35.122179,-33.015026,-74.305479,1.200104,0.328125,3.751736,0.05,576,71.01,2.8893,9.14,0.906856,1.2000000000000002,4.5,0.03,4.75,16,True,False
0.06,1,-0.674539,-0.077812,0.0,2.974583,0.584687,0.112491,34.540897,-28.416028,-73.827328,1.248847,0.380597,1.0,0.06,134,71.64,5.9528,8.91,1.74149,1.3,5.0,0.08,4.75,14,True,False
0.06,2,-0.58613,-0.068345,0.0,2.703495,0.516995,0.100601,34.772604,-29.460566,-73.670694,1.28252,0.375661,1.291005,0.06,189,76.72,5.0805,11.14,1.358477,1.4,3.5,0.03,6.0,20,True,False
0.05,13,-0.433323,-0.045028,0.0,1.94223,0.357751,0.073612,35.1464,-33.187244,-74.60438,1.200245,0.329372,3.955857,0.05,589,68.93,2.968,6.84,0.88549,1.1,5.0,0.03,6.0,10,True,False
0.05,14,-0.429735,-0.044612,0.0,1.929626,0.354008,0.073034,35.159024,-33.316502,-74.785866,1.202415,0.332776,4.107023,0.05,598,71.07,2.7775,10.89,0.926796,1.3,4.75,0.02,5.5,20,True,False
0.06,3,-0.56128,-0.06417,0.0,2.493978,0.483805,0.095052,34.383737,-31.959227,-74.80757,1.290879,0.365759,1.743191,0.06,257,77.82,5.4848,10.97,1.48861,1.4,5.0,0.02,6.0,20,True,False
0.05,15,-0.426356,-0.044037,0.0,1.904092,0.347537,0.072193,35.130035,-33.850699,-75.37134,1.206234,0.333874,4.442464,0.05,617,70.83,2.2924,9.3,0.890823,1.1,5.0,0.02,6.0,18,True,False
0.06,4,-0.556577,-0.060744,0.0,2.42002,0.460328,0.090603,33.97297,-33.798027,-75.047257,1.312955,0.375817,2.104575,0.06,306,76.47,4.427,9.75,1.338911,1.2000000000000002,4.25,0.03,5.25,19,True,False
0.06,5,-0.52035,-0.056377,0.0,2.317311,0.431163,0.086301,34.299755,-33.798113,-74.726592,1.283019,0.371901,2.559229,0.06,363,75.21,4.5944,9.93,1.329036,1.3,4.5,0.03,5.5,18,True,False
0.06,6,-0.506756,-0.054534,0.0,2.254187,0.416842,0.083827,34.242141,-34.338857,-75.062603,1.273457,0.371134,2.780928,0.06,388,71.65,4.9656,7.01,1.244876,1.4,4.25,0.02,5.0,9,True,False
0.06,7,-0.498698,-0.05216,0.0,2.175453,0.399138,0.081267,34.446364,-34.363569,-75.187445,1.26415,0.366822,3.175234,0.06,428,73.36,4.5846,9.22,1.217891,1.4,4.5,0.01,5.0,15,True,False
0.06,8,-0.49906,-0.051769,0.0,2.158196,0.397725,0.080536,34.371325,-34.773668,-75.531892,1.259247,0.366292,3.359551,0.06,445,76.18,4.3926,10.14,1.215518,1.3,4.75,0.08,5.25,19,True,False
0.06,9,-0.489353,-0.050099,0.0,2.105874,0.388029,0.079126,34.358425,-35.456792,-75.909953,1.258215,0.369979,3.693446,0.06,473,76.11,3.4256,8.62,1.140974,1.0,4.25,0.02,4.75,20,True,False
0.06,10,-0.484501,-0.049718,0.0,2.091134,0.38512,0.078767,34.380337,-35.586068,-75.933693,1.252979,0.367983,3.798337,0.06,481,74.64,3.7863,9.91,1.135853,1.2000000000000002,5.0,0.15000000000000002,5.75,19,True,False
0.06,11,-0.478044,-0.048981,0.0,2.073482,0.377539,0.077712,34.304675,-36.080927,-76.343901,1.246888,0.364185,4.030181,0.06,497,75.45,3.7402,10.11,1.153153,1.2000000000000002,5.0,0.09,5.75,20,True,False
0.06,12,-0.473201,-0.04826,0.0,2.068747,0.372046,0.076965,34.28509,-36.344537,-76.576843,1.258298,0.366667,4.233333,0.06,510,75.29,3.572,9.98,1.086372,1.2000000000000002,4.5,0.13,6.0,20,True,False
0.07,1,-0.729156,-0.083019,0.0,3.10941,0.615357,0.115414,33.278012,-32.240513,-76.669036,1.266813,0.40367,1.0,0.07,109,75.23,7.0169,10.02,1.930393,1.3,4.75,0.09999999999999999,5.5,17,True,False
0.06,13,-0.472197,-0.047937,0.0,2.059813,0.369257,0.076589,34.289317,-36.446739,-76.679213,1.258288,0.369439,4.352031,0.06,517,71.76,3.5892,10.19,1.118544,1.3,5.0,0.09,6.0,18,True,False
0.07,2,-0.642584,-0.074288,0.0,2.848223,0.555115,0.105684,33.851227,-31.665422,-75.046374,1.304615,0.386667,1.273333,0.07,150,71.33,5.8418,10.85,1.550143,1.5,4.25,0.02,5.0,17,True,False
0.06,14,-0.466979,-0.047391,0.0,2.041063,0.364505,0.075855,34.27384,-36.710583,-76.93061,1.260116,0.375,4.55303,0.06,528,71.59,3.4944,8.51,1.032048,1.3,5.0,0.06999999999999999,5.0,13,True,False
0.06,15,-0.457639,-0.046436,0.0,2.010744,0.357196,0.074799,34.284256,-37.208697,-77.491047,1.261002,0.375458,4.897436,0.06,546,70.7,3.3609,10.29,1.092713,1.3,5.0,0.02,6.0,18,True,False
0.07,3,-0.598152,-0.068469,0.0,2.65541,0.514656,0.10001,33.623573,-34.149511,-76.021776,1.340748,0.395238,1.766667,0.07,210,73.81,5.7911,9.16,1.561076,1.4,5.0,0.03,6.0,14,True,False
0.07,4,-0.58609,-0.06382,0.0,2.561983,0.480877,0.093993,33.284524,-35.907312,-76.258704,1.346993,0.392996,2.175097,0.07,257,75.88,5.7416,10.38,1.407922,1.4,5.0,0.02,4.0,19,True,False
0.07,5,-0.546005,-0.059351,0.0,2.431667,0.451604,0.089727,33.688974,-35.879751,-75.946659,1.314413,0.396104,2.642857,0.07,308,74.68,4.8768,8.79,1.384564,1.3,4.75,0.04,4.75,14,True,False
0.07,6,-0.529536,-0.057291,0.0,2.381462,0.434417,0.086841,33.568341,-36.688247,-76.539896,1.299611,0.386707,2.876133,0.07,331,75.83,5.0514,10.49,1.384659,1.3,4.75,0.06999999999999999,6.0,19,True,False
0.07,7,-0.522026,-0.055499,0.0,2.342375,0.421843,0.085055,33.616707,-37.100534,-76.736548,1.320638,0.386555,3.176471,0.07,357,75.07,4.7544,9.98,1.380451,1.3,5.0,0.02,5.0,18,True,False
0.07,8,-0.525779,-0.054601,0.0,2.293654,0.412304,0.083501,33.637157,-37.263671,-77.023919,1.305592,0.376963,3.492147,0.07,382,73.56,5.2025,6.39,1.313961,1.4,4.75,0.03,5.75,8,True,False
0.07,9,-0.517637,-0.052778,0.0,2.216476,0.40052,0.081674,33.554724,-38.183554,-77.488244,1.29758,0.37561,3.868293,0.07,410,73.41,3.9149,8.15,1.224515,1.0,5.0,0.05,5.5,17,True,False
0.07,10,-0.509519,-0.051915,0.0,2.181161,0.392896,0.080509,33.553209,-38.400806,-77.799581,1.296397,0.377358,4.070755,0.07,424,74.29,4.3738,10.75,1.254717,1.3,5.0,0.15000000000000002,5.75,20,True,False
