threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,max_holding_bars
0.04,3,-0.460914,-0.053201,0.0,2.182902,0.41413,0.080774,35.376953,-28.524336,-72.712357,1.146866,0.320482,1.643373,0.04,415,80.0,5.3358,17.65,1.315365,1.4,6.25,46
0.04,4,-0.448848,-0.050408,0.0,2.095167,0.39744,0.077873,35.261207,-29.331047,-72.793221,1.147154,0.313808,1.953975,0.04,478,79.71,5.0738,17.22,1.302224,1.35,6.75,45
0.04,5,-0.439138,-0.048386,0.0,2.019512,0.382419,0.075861,35.442727,-29.333265,-72.648504,1.134596,0.302682,2.210728,0.04,522,78.16,4.5919,17.36,1.226695,1.35,6.75,45
0.04,6,-0.429648,-0.047061,0.0,1.987466,0.373472,0.07499,35.56523,-29.443158,-72.746739,1.130359,0.301818,2.403636,0.04,550,78.0,4.5139,17.39,1.19837,1.35,7.5,45
0.04,7,-0.429141,-0.0465,0.0,1.947768,0.367691,0.074152,35.572956,-29.68366,-72.753331,1.135043,0.307427,2.633851,0.04,579,78.76,4.668,18.22,1.179477,1.35,8.0,49
0.04,8,-0.424439,-0.045884,0.0,1.926527,0.365304,0.07336,35.553048,-29.996142,-72.969105,1.140285,0.306533,2.795645,0.04,597,78.22,4.1062,16.99,1.13457,1.3,7.25,45
0.04,9,-0.420216,-0.04498,0.0,1.88603,0.360885,0.072769,35.635105,-30.243795,-72.871943,1.141563,0.306947,3.016155,0.04,619,79.32,4.0634,17.68,1.142977,1.25,8.0,50
0.04,10,-0.417222,-0.04455,0.0,1.875952,0.357216,0.072297,35.669928,-30.32167,-72.883576,1.139673,0.306349,3.138095,0.04,630,79.84,3.7474,16.76,1.106255,1.2000000000000002,7.5,50
0.04,12,-0.411139,-0.043542,0.0,1.841107,0.34883,0.071119,35.632105,-30.894609,-73.314373,1.143557,0.305936,3.48554,0.04,657,77.78,4.0274,18.05,1.088869,1.35,7.0,50
0.04,14,-0.407859,-0.042901,0.0,1.825051,0.344169,0.070416,35.64801,-31.259436,-73.705147,1.147517,0.311012,3.709821,0.04,672,69.64,2.8638,12.01,0.970074,1.35,7.5,21
0.04,16,-0.401695,-0.041807,0.0,1.789074,0.336142,0.069426,35.649683,-31.910767,-74.274696,1.149793,0.314735,4.164521,0.04,699,75.54,2.2991,12.84,0.974765,1.0,7.5,39
0.04,18,-0.396236,-0.041286,0.0,1.770479,0.331618,0.068839,35.657628,-32.209225,-74.708555,1.152905,0.314685,4.461538,0.04,715,77.2,3.315,16.96,1.038013,1.3,8.0,43
0.04,20,-0.405668,-0.041383,0.0,1.746277,0.327211,0.070027,35.64128,-32.614278,-75.046804,1.168811,0.319672,4.807377,0.04,732,78.01,3.155,15.31,1.067483,1.1,8.0,50
0.04,22,-0.401749,-0.040944,0.0,1.73598,0.324308,0.069503,35.686533,-32.762831,-75.120103,1.172108,0.323015,5.053836,0.04,743,73.62,2.6734,10.9,0.986266,1.05,6.5,26
0.04,25,-0.397288,-0.040411,0.0,1.7176,0.320779,0.068979,35.713789,-32.948113,-75.301775,1.176822,0.324111,5.44664,0.04,759,76.94,3.7258,17.96,1.065466,1.35,8.0,46
0.04,28,-0.394943,-0.040042,0.0,1.713972,0.318123,0.068537,35.702281,-33.184519,-75.530811,1.18386,0.327273,5.761039,0.04,770,75.97,2.7284,13.62,1.004098,1.1,6.25,41
0.04,30,-0.393113,-0.039659,0.0,1.702807,0.315107,0.068217,35.654957,-33.599963,-75.957685,1.195301,0.332908,6.186224,0.04,784,77.04,3.8824,19.18,1.041285,1.4,8.0,49
0.04,35,-0.391118,-0.039331,0.0,1.680487,0.312561,0.067856,35.613731,-33.959408,-76.250119,1.203493,0.33794,6.576633,0.04,796,76.76,3.0021,15.63,1.005651,1.2000000000000002,7.5,42
0.04,40,-0.386966,-0.038836,0.0,1.689452,0.309872,0.067452,35.618713,-34.150174,-76.416431,1.215531,0.34321,7.116049,0.04,810,77.28,3.0132,16.07,1.003802,1.2000000000000002,7.75,44
0.04,45,-0.384342,-0.038465,0.0,1.686414,0.30779,0.067111,35.573255,-34.505477,-76.649157,1.235446,0.347932,7.636253,0.04,822,77.86,2.9579,15.55,1.009783,1.1,8.0,50
0.04,50,-0.383032,-0.038275,0.0,1.682365,0.306835,0.06694,35.548989,-34.690397,-76.794502,1.234327,0.348613,7.977081,0.04,829,78.17,3.1935,16.97,1.016351,1.2000000000000002,8.0,49
0.05,1,-0.592463,-0.069805,0.0,2.783226,0.532752,0.102663,34.94432,-28.162761,-73.505495,1.196577,0.351955,1.0,0.05,179,78.77,6.4556,17.03,1.779083,1.4,6.75,43
0.05,2,-0.525213,-0.061289,0.0,2.501412,0.471932,0.091253,35.116034,-28.633509,-72.556823,1.196564,0.353414,1.281124,0.05,249,79.12,5.7092,18.39,1.480406,1.35,7.0,47
0.05,3,-0.513746,-0.058216,0.0,2.298196,0.448205,0.087534,35.061692,-29.630383,-73.082594,1.193722,0.329305,1.706949,0.05,331,79.76,5.6427,17.17,1.442857,1.4,7.25,43
0.05,4,-0.492629,-0.054385,0.0,2.246273,0.42512,0.083262,34.893586,-30.745144,-72.931478,1.214046,0.331646,2.078481,0.05,395,78.73,5.4463,16.87,1.393641,1.4,7.75,44
0.05,5,-0.471523,-0.051648,0.0,2.171404,0.403767,0.080152,34.940892,-31.303676,-73.18115,1.208754,0.331066,2.38322,0.05,441,73.24,4.2356,15.05,1.248342,1.5,7.0,31
0.05,6,-0.459627,-0.050054,0.0,2.136256,0.392306,0.079016,35.045022,-31.553519,-73.392343,1.196532,0.326226,2.599147,0.05,469,79.96,4.8415,16.33,1.284416,1.3,7.25,45
0.05,7,-0.45574,-0.048681,0.0,2.074015,0.38135,0.077476,35.143735,-31.635363,-73.411705,1.195364,0.326693,2.888446,0.05,502,78.88,4.7813,16.64,1.238647,1.4,7.25,43
0.05,8,-0.448777,-0.047816,0.0,2.041915,0.378779,0.07645,35.139196,-32.066371,-73.744487,1.194761,0.32381,3.112381,0.05,525,74.48,3.952,14.22,1.172531,1.4,7.0,32
0.05,9,-0.445735,-0.046967,0.0,2.007199,0.374932,0.075875,35.169519,-32.329418,-73.766982,1.194602,0.325967,3.307551,0.05,543,72.93,3.6844,13.39,1.121747,1.4,7.0,27
0.05,10,-0.442759,-0.04656,0.0,2.001054,0.370606,0.075426,35.181279,-32.456176,-73.868445,1.191921,0.32852,3.440433,0.05,554,79.06,4.2563,17.62,1.200414,1.3,8.0,50
